renstra,rencana strategis
repp,balas
reskrim,reserse kriminal
restik,reserse narkotika
rhs,rahasia
rmbt,rambut
rofl,rolling on the floor laughing
ru,baru
rudal,peluru kendali
ruko,rumah toko
rusun,rumah susun
rusunawa,rumah susun sewa
rutan,rumah tahanan
ruz,terus
s4,sempat
saia,saya
saiank,sayang
salting,salah tingkah
saltum,salah kostum
sampe,sampai
sampeyan,anda
samsek,sama sekali
sapa,siapa
sapose,siapa
satkorlak,satuan koordinator pelaksana
satpam,satuan pengamanan
say,sayang
sbb,sebagai berikut
sbh,sebuah
sblm,sebelum
sbnrny,sebenarnya
scara,secara
sdg,sedang
sdgkn,sedangkan
sdngkn,sedangkan
seabrek,banyak
sebelas dua belas,mirip
sekjen,sekretaris jenderal
sembako,sembilan bahan pokok
sempak,celana dalam
sempet2nya,sempat-sempatnya
sendratari,seni drama tari
sertijab,serah terima jabatan
sgtunya,segitunya
shg,sehingga
sidak,inspeksi mendadak
siech,sih
sieyh,sih
sikon,situasi dan kondisi
simpedes,simpanan pedesaan
sinetron,sinema elektronik
sip,oke
siramin,siramkan
sis,kak
sista,kak
skali,sekali
skalian,sekalian
skl,sekali
slesai,selesai
slh,salah
slm,salam
slma,selama
slsai,selesai
slt,sulit
smwny,semuanya
sndiri,sendiri
soljum,sholat jumat
somse,sombong sekali
songong,sombong
sorry,maaf
sory,maaf
sosbud,sosial-budaya
sosek,sosial-ekonomi
sospol,sosial-politik
sotoy,sok tahu
sowry,maaf
spd,sepeda
sppa,siapa
srtfkt,sertifikat
stelah,setelah
stiap,setiap
stlh,setelah
subbag,subbagian
suk,masuk
sumbangin,sumbangkan
sumpek,sempit
syg,sayang
tabanas,tabungan pembangunan nasional
tajir,kaya
tar,nanti
tau,tahu
taun,tahun
taw,tahu
tawh,tahu
te2p,tetap
teh,kakak perempuan
tekor,rugi
telat,terlambat
telkom,telekomunikasi
telmi,telat berpikir
telp,telepon
temen,teman
temen2,teman-teman
tengil,menyebalkan
tengok,menjenguk
tepar,terkapar
terbitin,terbitkan
tggu,tunggu
tgu,tunggu
thanks,terima kasih
thankz,terima kasih
thd,terhadap
tilang,bukti pelanggaran
tipi,TV
tipiwan,TvOne
tkg,tukang
tks,terima kasih
tll,terlalu
tlp,telepon
tlpn,telepon
tls,tulis
tman,teman
tmbah,tambah
tmbh,tambah
tmen2,teman-teman
tmn2,teman-teman
tmpah,tumpah
tmph,tumpah
tnda,tanda
tngu,tunggu
tnh,tanah
tnyta,ternyata
togel,toto gelap
tokai,tai
toserba,toko serba ada
tpi,tapi
tq,terima kasih
trdhulu,terdahulu
trgntg,tergantung
trima,terima
trm,terima
trnyt,ternyata
trutama,terutama
trz,terus
ts,penulis
tsb,tersebut
tst,tahu sama tahu
ttd,tertanda
ttg,tentang
tuch,tuh
tuh,itu
tuir,tua
tuwh,tuh
tyap,tiap
u,kamu
u/,untuk
ud,sudah
udah,sudah
ujg,ujung
ujung2nya,ujung-ujungnya
ul,ulangan
ultah,ulang tahun
unyu,menggemaskan
uplot,unggah
uppu,apa
urang,saya
urg,saya
usah,perlu
utang,hutang
utul,ujian tertulis
valas,valuta asing
vol,volume
w/,dengan
wad,buat
wadir,wakil direktur
wagub,wakil gubernur
wamil,wajib militer
waria,wanita pria
warkop,warung kopi
warnet,warung internet
warteg,warung tegal
wartel,warung telekomunikasi
wat,buat
wk,tertawa
wkt,waktu
wtf,what the fuck
wth,what the hell
ya,iya
yad,yang akan datang
yapz,iya
yaudah,ya sudah
yauwda,ya sudah
yawdah,ya sudah
ybs,yang bersangkutan
yi,yaitu
yl,yang lain
yo,iya
yoha,iya
yowes,ya sudah
yuk,ayo
yup,iya
ywdh,ya sudah
tf,transfer
po,preorder
mesen,mesan
mksdx,maksudnya
namax,namanya
nmax,namanya
barangx,barangnya
yaa,ya
dongg,dong
dptin,mendapatkan
ulg,ulang
ulng,ulang
kmaren,kemarin
akuu,saya
pesennya,pesannya
pesn,pesan
pesen,pesan
rek,rekening
cmn,hanya
bisaa,bisa
nnya,tanya
mauuu,mau
mauu,mau
okey,oke
okeyy,oke
bkti,bukti
trnsfr,transfer
dskon,diskon
disc,diskon
discount,diskon
black,hitam
prmo,promo
wa,whatsapp
lgsng,langsung
ig,instagram
yaah,kecewa
yah,kecewa
yahh,kecewa
yahhh,kecewa
yaahh,kecewa
yaaah,kecewa
nyampe,sampai
sz,ukuran
size,ukuran
an,atas nama
dipake,dipakai
kegedean,kebesaran
dituker,ditukar
tetep,tetap
sama2,sama-sama
apapa,apa-apa
pict,gambar
infoin,infokan
restok,restock
ajah,saja
kmren,kemarin
konfirm,konfirmasi
nyaa,nya
siaap,siap
mksdnya,maksudnya
makasihh,terima kasih
siss,kak
sist,kak
okaay,oke
siapp,siap
yauda,iya sudah
gada,tidak ada
oya,oh iya
brarti,berarti
papa,apa apa
brrti,berarti
indomart,indomaret
gituu,begitu
yaaaa,iya
ituu,itu
makasii,terima kasih
hhe,hehe
okk,ok
nyoba,mencoba
mnta,minta
msih,masih
rb,ribu
trimakasih,terima kasih
adaa,ada
sendal,sandal
ta,iya
beneran,sungguh
klu,kalau
dehh,deh
pgn,ingin
kaakk,kak
okeeey,oke
pengennya,inginnya
ohhh,oh
makanya,karenanya
okayy,oke
sipp,oke
sisss,kak
yeaaaaay,iya
hrganya,harganya
spatu,sepatu
oiyaa,oh iya
yak,iya
ohiya,oh iya
gausah,tidak usah
brpaan,berapaan
klau,kalau
wahh,wah
aj,aja
hhu,huhu
hiihi,hihi
yeaaay,iya
hrga,harga
kirakira,kira kira
yaahh,kecewa
pic,gambar
makasiih,terima kasih
nggk,tidak
tida,tidak
tdak,tidak
kaaakk,kak
halooo,hai
wahhh,kecewa
makasihhh,terima kasih
thankyouu,terima kasih
thankyou,terima kasih
thank,terima kasih
maksh,terima kasih
terma ksh,terima kasih
terima ksh,terima kasih
terima ksih,terima kasih
terima kasihh,terima kasih
ka,kak
rp,rupiah
idr,rupiah
okee,oke
dear,kepada
mbak,kak
mba,kak
s,kecil
m,sedang
l,besar
xl,sangat besar
xxl,sangat sangat besar
banyakk,banyak
ngarep,ingin
buruan,segera
pager,pagar
percya,percaya
pngam,pangan
masyarak,masyarakat
deng,dengan
nsaya,saya
ndi,di
mening,meninggal
tahuna,tahunan
aga,apa
kareba,kabar
baji,baik
ji,saja
nseperti,seperti
